Expérimentateur;Bande de fréquences;Fréquences attribuées (limite basse);Fréquences attribuées (limite haute);Numéro de la décision d'autorisation de l'Arcep;Lien de la décision d'autorisation de l'Arcep;Latitude;Longitude;Code INSEE;Commune;Département;Région;Début;Fin;Description;Techno - Massive MIMO;Techno - Beamforming/beamtracking;Techno - Duplexage temporel (mode TDD);Techno - Mode de fonctionnement NSA (Non Stand Alone);Techno - Mode de fonctionnement SA (Stand Alone);Techno - Synchronisation de réseaux;Techno - Network slicing;Techno - Small cells;Techno - Accès dynamique au spectre;Techno - 5G, 6G…;Usage - Mobilité connectée;Usage - Internet des objets;Usage - Ville intelligente;Usage - Réalité virtuelle;Usage - Télémédecine;Usage - Industrie du futur;Usage - Technique ou R&D;Usage - Autre
IHU Strasbourg;3,8 GHz;3900;4000;2022-2048;https://www.arcep.fr/uploads/tx_gsavis/22-2048.pdf;48,5759425;7,7430558;67482;Strasbourg;Bas-Rhin;Grand Est;2023-02-01;2026-01-31;Expérimentation, dans le cadre du projet 5G-OR (Operating Room), visant à créer la nouvelle génération de blocs opératoires, pour des interventions mini-invasives personnalisées et sécurisées, avec l’objectif d’améliorer le bénéfice pour les patients.;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
Capgemini;3,8 GHz;3900;4000;2022-1955;https://www.arcep.fr/uploads/tx_gsavis/22-1955.pdf;48,8287222;2,26152777;92040;Issy-les-Moulineaux;Hauts-de-Seine;Île-de-France;2022-10-17;2025-10-16;Capgemini, acteur des secteurs des technologies numériques et de l’industrie intelligente, enrichit son Lab 5G d’Issy-les-Moulineaux par de nouvelles capacités d’expérimentation dédiées aux cas d’usages de l’industrie du futur, complétant ainsi son réseau privé SA (Stand alone) par un nouveau spectre de fréquences n77.;1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0;0
Bouygues Telecom;3,8 GHz;3880;3980;2022-1842;https://www.arcep.fr/uploads/tx_gsavis/22-1842.pdf;48,7875;2,219722;92012;Boulogne-Billancourt;Hauts-de-Seine;Île-de-France;2022-07-12;2025-07-11;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Halys;2,6 GHz TDD;2575;2585;2022-2027;https://www.arcep.fr/uploads/tx_gsavis/22-2027.pdf;48,8227777777778;2,25861111111111;92040;Issy-les-Moulineaux;Hauts-de-Seine;Île-de-France;2022-10-15;2024-10-15;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
B-COM;3,8 GHz;3900;4000;2023-0718;https://www.arcep.fr/uploads/tx_gsavis/23-0718.pdf;48,1357639;-1,6231722;22113;Lannion;Côtes-d'Armor;Bretagne;2023-02-01;2026-01-31;Plateforme d'expérimentation 5G, dédiée à des expérimentations techniques pour les solutions développées par B-Com et à destination des verticaux.;0;0;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;0
SOLVAY;2,6 GHz TDD;2575;2595;2022-2234;https://www.arcep.fr/uploads/tx_gsavis/22-2234.pdf;47,033952;5,233182;39526;Tavaux;Jura;Bourgogne-Franche-Comté;2023-01-01;2025-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0
SNCF;2,6 GHz TDD;2600;2620;2022-2235;https://www.arcep.fr/uploads/tx_gsavis/22-2235.pdf;48,061714;-1,380992;35238;Rennes;Ille-et-Vilaine;Bretagne;2022-11-21;2025-09-30;Expérimentation dans le cadre de nouveaux cas d'usage;1;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1;0;0
Schneider Electric;3,8 GHz;3900;4000;2022-2281;https://www.arcep.fr/uploads/tx_gsavis/22-2281.pdf;45,20753;5,69804;38185;Grenoble;Isère;Auvergne-Rhône-Alpes;2022-11-17;2025-07-18;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Sysoco/Axians;3,8 GHz;3900;4000;2022-2391;https://www.arcep.fr/uploads/tx_gsavis/22-2391.pdf;48,1127194;-1,60555277;35037;Bréal-sous-Montfort;Ille-et-Vilaine;Bretagne;2022-12-01;2025-11-30;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;1;0;1
ILS TECHNOLOGIES;3,8 GHz;3900;4000;2022-2535;https://www.arcep.fr/uploads/tx_gsavis/22-2535.pdf;48,785814;2,044985;78423;Montigny-le-Bretonneux;Yvelines;Île-de-France;2023-01-01;2025-12-31;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
